14.00;41.85;48.07;58.15;48.07
14.10;37.65;41.48;62.35;41.48
14.20;33.45;41.15;66.55;41.15
14.30;29.25;45.59;70.75;45.59
14.40;33.00;39.35;67.00;39.35
14.50;36.75;39.11;63.25;39.11
14.60;40.50;45.05;59.50;45.05
14.70;44.25;37.33;55.75;37.33
14.80;48.00;38.04;52.00;38.04
14.90;53.75;44.50;46.25;44.50
15.00;59.50;39.02;40.50;39.02
15.10;65.25;33.82;34.75;33.82
15.20;60.75;40.79;39.25;40.79
15.30;56.25;34.97;43.75;34.97
15.40;51.75;29.62;48.25;29.62
15.50;47.25;34.13;52.75;34.13
15.60;43.25;29.98;56.75;29.98
15.70;39.25;29.44;60.75;29.44
15.80;35.25;30.40;64.75;30.40
15.90;31.25;28.82;68.75;28.82
16.00;27.50;28.29;72.50;28.29
16.10;23.75;34.34;76.25;34.34
16.20;20.00;34.95;80.00;34.95
16.30;16.25;34.92;83.75;34.92
16.40;20.65;42.22;79.35;42.22
16.50;25.05;36.13;74.95;36.13
16.60;29.45;43.11;70.55;43.11
16.70;33.85;44.56;66.15;44.56
16.80;38.25;44.70;61.75;44.70
16.90;44.00;50.89;56.00;50.89
17.00;49.75;51.68;50.25;51.68
17.10;55.50;50.41;44.50;50.41
17.20;61.25;55.51;38.75;55.51
17.30;56.65;56.54;43.35;56.54
17.40;52.05;53.59;47.95;53.59
17.50;47.45;58.18;52.55;58.18
17.60;42.85;53.12;57.15;53.12
17.70;38.25;54.16;61.75;54.16
17.80;44.00;60.33;56.00;60.33
17.90;49.75;54.21;50.25;54.21
18.00;55.50;54.90;44.50;54.90
18.10;61.25;54.43;38.75;54.43
18.20;55.75;48.49;44.25;48.49
18.30;50.25;47.93;49.75;47.93
18.40;44.75;50.86;55.25;50.86
18.50;39.25;48.78;60.75;48.78
18.60;35.45;43.61;64.55;43.61
18.70;31.65;37.34;68.35;37.34
18.80;27.85;36.81;72.15;36.81
18.90;24.05;30.07;75.95;30.07
19.00;20.25;21.34;79.75;21.34
19.10;25.00;28.07;75.00;28.07
19.20;29.75;28.81;70.25;28.81
19.30;34.50;23.74;65.50;23.74
19.40;39.25;31.11;60.75;31.11
19.50;35.65;31.54;64.35;31.54
19.60;32.05;28.95;67.95;28.95
19.70;28.45;29.63;71.55;29.63
19.80;24.85;29.25;75.15;29.25
19.90;21.25;29.98;78.75;29.98
